as_of_date,field_key,value,source,notes,section
2025-11-24,pre_auths_expiring_this_month,0,,Pre-auths expiring this month,PRE_AUTH
2025-11-24,claims_total_active,0,,Total active claims,CLAIMS
2025-11-24,claims_pending,0,,Pending claims,CLAIMS
2025-11-24,claims_denied,0,,Denied claims,CLAIMS
2025-11-24,claims_over_60_days,0,,Claims over 60 days,CLAIMS
2025-11-24,insurance_ar_0_30_amount,0,,Insurance A/R 0-30 days,INSURANCE_AR_AGING
2025-11-24,insurance_ar_31_60_amount,0,,Insurance A/R 31-60 days,INSURANCE_AR_AGING
2025-11-24,insurance_ar_61_90_amount,0,,Insurance A/R 61-90 days,INSURANCE_AR_AGING
2025-11-24,insurance_ar_90_plus_amount,0,,Insurance A/R 90+ days,INSURANCE_AR_AGING
2025-11-24,insurance_ar_0_30_count,0,,Claims 0-30 days count,INSURANCE_AR_AGING
2025-11-24,insurance_ar_31_60_count,0,,Claims 31-60 days count,INSURANCE_AR_AGING
2025-11-24,insurance_ar_61_90_count,0,,Claims 61-90 days count,INSURANCE_AR_AGING
2025-11-24,insurance_ar_90_plus_count,0,,Claims 90+ days count,INSURANCE_AR_AGING
2025-11-24,scorecard_production_goal,250000,,Monthly production goal,SCORECARD
2025-11-24,scorecard_production_actual,0,,Actual production,SCORECARD
2025-11-24,scorecard_collection_goal,80,,Collection goal percentage,SCORECARD
2025-11-24,scorecard_collection_actual,0,,Actual collection rate,SCORECARD
2025-11-24,scorecard_new_patients_goal,40,,New patients goal,SCORECARD
2025-11-24,scorecard_new_patients_actual,0,,Actual new patients,SCORECARD
2025-11-24,scorecard_claim_approval_rate,0,,Claim approval rate,SCORECARD
2025-11-24,scorecard_avg_days_to_pay,0,,Average days to pay,SCORECARD
2025-11-24,scorecard_show_rate_dr,0,,Doctor show rate,SCORECARD
2025-11-24,scorecard_show_rate_dr_target,90,,Doctor show rate target,SCORECARD
2025-11-24,scorecard_show_rate_hyg,0,,Hygienist show rate,SCORECARD
2025-11-24,scorecard_show_rate_hyg_target,90,,Hygienist show rate target,SCORECARD
2025-11-24,scorecard_new_pts_per_week,0,,New patients per week,SCORECARD
2025-11-24,scorecard_tx_acceptance,0,,Treatment acceptance rate,SCORECARD
2025-11-24,scorecard_tx_acceptance_target,60,,Treatment acceptance target,SCORECARD
2025-11-24,scorecard_total_tx_presented,0,,Total treatment presented,SCORECARD
2025-11-24,scorecard_total_tx_accepted,0,,Total treatment accepted,SCORECARD
2025-11-24,scorecard_avg_collection_rate,0,,Average collection rate,SCORECARD
2025-11-24,scorecard_avg_collection_target,80,,Average collection target,SCORECARD
2025-11-24,scorecard_total_new_patients,0,,Total new patients,SCORECARD
2025-11-24,scorecard_five_star_reviews,0,,Five star reviews,SCORECARD
2025-11-24,adv_cac,0,,Customer acquisition cost,ADVANCED_METRICS
2025-11-24,adv_gross_profit_margin,0,,Gross profit margin %,ADVANCED_METRICS
2025-11-24,adv_operating_profit_margin,0,,Operating profit margin %,ADVANCED_METRICS
2025-11-24,adv_cash_flow,0,,Cash flow,ADVANCED_METRICS
2025-11-24,adv_revenue_growth_rate,0,,Revenue growth rate %,ADVANCED_METRICS
2025-11-24,adv_cogs_dental_supplies,0,,Dental supplies cost,ADVANCED_METRICS_COGS
2025-11-24,adv_cogs_lab_fees,0,,Lab fees,ADVANCED_METRICS_COGS
2025-11-24,adv_cogs_associate_doctor,0,,Associate doctor expense,ADVANCED_METRICS_COGS
2025-11-24,adv_cogs_hygiene_payroll,0,,Hygiene payroll,ADVANCED_METRICS_COGS
2025-11-24,adv_cogs_assistant_payroll,0,,Assistant payroll,ADVANCED_METRICS_COGS
2025-11-24,adv_operating_costs,0,,Operating costs,ADVANCED_METRICS_COGS
2025-11-24,adv_churned_patients_month,0,,Churned patients per month,ADVANCED_METRICS_LIFECYCLE
2025-11-24,adv_lifecycle_months,0,,Patient lifecycle (months),ADVANCED_METRICS_LIFECYCLE
2025-11-24,adv_active_pts_prior_month,0,,Active patients prior month,ADVANCED_METRICS_LIFECYCLE
2025-11-24,adv_avg_retention_period,0,,Average retention period (months),ADVANCED_METRICS_LIFECYCLE
2025-11-24,adv_arpc,0,,Average revenue per client,ADVANCED_METRICS_LIFECYCLE
2025-11-24,adv_nps,0,,Net Promoter Score,ADVANCED_METRICS_SATISFACTION
2025-11-24,adv_enps,0,,Employee NPS,ADVANCED_METRICS_SATISFACTION
2025-11-24,adv_employee_utilization,0,,Employee utilization rate %,ADVANCED_METRICS_SATISFACTION
2025-11-24,new_pts_per_day,0,,New patients per day,NEW_PATIENT_TRACKER
2025-11-24,new_pts_per_day_goal,2,,Daily new patient goal,NEW_PATIENT_TRACKER
2025-11-24,new_pts_per_week,0,,New patients per week,NEW_PATIENT_TRACKER
2025-11-24,new_pts_per_week_goal,10,,Weekly new patient goal,NEW_PATIENT_TRACKER
2025-11-24,new_pts_per_month,0,,New patients per month,NEW_PATIENT_TRACKER
2025-11-24,new_pts_per_month_goal,40,,Monthly new patient goal,NEW_PATIENT_TRACKER
2025-11-24,new_pts_quarterly,0,,New patients quarterly,NEW_PATIENT_TRACKER
2025-11-24,new_pts_quarterly_goal,120,,Quarterly new patient goal,NEW_PATIENT_TRACKER
2025-11-24,financing_cherry_patients,0,,Cherry financing patients,THIRD_PARTY_FINANCING
2025-11-24,financing_cherry_amount,0,,Cherry financing amount,THIRD_PARTY_FINANCING
2025-11-24,financing_carecredit_patients,0,,CareCredit patients,THIRD_PARTY_FINANCING
2025-11-24,financing_carecredit_amount,0,,CareCredit amount,THIRD_PARTY_FINANCING
2025-11-24,insurance_total_providers,0,,Total insurance providers,INSURANCE
2025-11-24,insurance_active_plans,0,,Active insurance plans,INSURANCE
2025-11-24,insurance_credentialing_pending,0,,Credentialing pending,INSURANCE
2025-11-24,insurance_verifications_pending,0,,Verifications pending,INSURANCE
2025-11-24,insurance_total_portals,0,,Total insurance portals,INSURANCE
2025-11-24,insurance_eft_enrolled,0,,EFT enrollments,INSURANCE
2025-11-24,insurance_connection_network,0,,Connection network contracts,INSURANCE
2025-11-24,insurance_direct_contracts,0,,Direct contracts,INSURANCE
