Section,Field Name,Field Key,Data Type,Current Value,Description/Notes
EOD REPORT,Payment Method - MasterCard,paymentMethods.mastercard,number,0,MasterCard payments
EOD REPORT,Payment Method - American Express,paymentMethods.americanExpress,number,0,American Express payments
EOD REPORT,Payment Method - Discover,paymentMethods.discover,number,0,Discover card payments
EOD REPORT,Payment Method - Insurance Checks,paymentMethods.insuranceCheck,number,0,Check payments from insurance companies
EOD REPORT,Payment Method - Other Checks,paymentMethods.otherCheck,number,0,Check payments from patients/other sources
EOD REPORT,Payment Method - Cash,paymentMethods.cash,number,0,Cash payments
EOD REPORT,Payment Method - EFT,paymentMethods.eft,number,0,EFT/ACH payments
EOD REPORT,Patients Seen Today,patientsSeenToday,number,24,Number of patients seen
EOD REPORT,New Patients,newPatients,number,3,New patients seen today
EOD REPORT,Procedures Completed,proceduresCompleted,number,32,Total procedures completed
EOD REPORT,Unbilled Procedures,unbilledProcedures,number,2,Procedures not yet billed
EOD REPORT,Unapplied Payments,unappliedPayments,number,450,Payments not applied to accounts
EOD REPORT,Failed Transactions,failedTransactions,number,1,Number of failed payment transactions
EOD REPORT,Claims To Submit,actionItems.claimsToSubmit,number,5,Claims needing submission
EOD REPORT,Denied Claims To Resubmit,actionItems.deniedClaimsToResubmit,number,2,Denied claims to resubmit
EOD REPORT,Pre-Auths Expiring,actionItems.preAuthsExpiring,number,3,Pre-auths expiring soon
EOD REPORT,Accounts Needing Follow-Up,actionItems.accountsNeedingFollowUp,number,7,Accounts requiring follow-up
EOD REPORT,Missed Appointments,actionItems.missedAppointments,number,4,Appointments missed today
EOD REPORT,MTD Production,monthToDateSummary.production,number,87500,Month-to-date production
EOD REPORT,MTD Production Goal,monthToDateSummary.productionGoal,number,150000,Month-to-date production goal
EOD REPORT,MTD Collected,monthToDateSummary.collected,number,71250,Month-to-date collected amount
EOD REPORT,MTD Collection Rate %,monthToDateSummary.collectionRate,number,81.4,Month-to-date collection rate
EOD REPORT,MTD New Patients,monthToDateSummary.newPatients,number,15,Month-to-date new patients
CLAIMS,Total Active Claims,totalActive,number,0,Total number of active claims
CLAIMS,Pending Claims,pending,number,0,Claims pending with insurance
CLAIMS,Denied Claims,denied,number,0,Claims that were denied
CLAIMS,Claims Over 60 Days,overSixtyDays,number,0,Claims older than 60 days
CLAIMS,AR 0-30 Days Amount,arAging.zeroToThirty.amount,number,0,AR aging 0-30 days amount
CLAIMS,AR 0-30 Days Count,arAging.zeroToThirty.count,number,0,AR aging 0-30 days count
CLAIMS,AR 31-60 Days Amount,arAging.thirtyOneToSixty.amount,number,0,AR aging 31-60 days amount
CLAIMS,AR 31-60 Days Count,arAging.thirtyOneToSixty.count,number,0,AR aging 31-60 days count
CLAIMS,AR 61-90 Days Amount,arAging.sixtyOneToNinety.amount,number,0,AR aging 61-90 days amount
CLAIMS,AR 61-90 Days Count,arAging.sixtyOneToNinety.count,number,0,AR aging 61-90 days count
CLAIMS,AR 90+ Days Amount,arAging.ninetyPlus.amount,number,0,AR aging 90+ days amount
CLAIMS,AR 90+ Days Count,arAging.ninetyPlus.count,number,0,AR aging 90+ days count
NEW PATIENT TRACKER,Per Day,perDay,number,0,New patients seen today
NEW PATIENT TRACKER,Per Day Goal,perDayGoal,number,5,Daily new patient goal (default: 5)
NEW PATIENT TRACKER,Per Week,perWeek,number,0,New patients in the last 7 days
NEW PATIENT TRACKER,Per Week Goal,perWeekGoal,number,35,Weekly new patient goal (default: 35)
NEW PATIENT TRACKER,Per Month,perMonth,number,0,New patients this month
NEW PATIENT TRACKER,Per Month Goal,perMonthGoal,number,150,Monthly new patient goal (default: 150)
NEW PATIENT TRACKER,Quarterly,quarterly,number,0,New patients this quarter
NEW PATIENT TRACKER,Quarterly Goal,quarterlyGoal,number,450,Quarterly new patient goal (default: 450)
NEW PATIENT TRACKER,6-Month Average Month 1,monthlyAverages[0].count,number,0,New patient count for oldest month (auto-labeled with actual month)
NEW PATIENT TRACKER,6-Month Average Month 2,monthlyAverages[1].count,number,0,New patient count (auto-labeled with actual month)
NEW PATIENT TRACKER,6-Month Average Month 3,monthlyAverages[2].count,number,0,New patient count (auto-labeled with actual month)
NEW PATIENT TRACKER,6-Month Average Month 4,monthlyAverages[3].count,number,0,New patient count (auto-labeled with actual month)
NEW PATIENT TRACKER,6-Month Average Month 5,monthlyAverages[4].count,number,0,New patient count (auto-labeled with actual month)
NEW PATIENT TRACKER,6-Month Average Month 6,monthlyAverages[5].count,number,0,New patient count for most recent month (auto-labeled with actual month)
THIRD PARTY FINANCING,Cherry Patients (30 days),cherryPatients,number,0,Number of patients using Cherry financing (past 30 days)
THIRD PARTY FINANCING,Cherry Amount (30 days),cherryAmount,number,0,Total amount financed through Cherry (past 30 days)
THIRD PARTY FINANCING,CareCredit Patients (30 days),careCreditPatients,number,0,Number of patients using CareCredit (past 30 days)
THIRD PARTY FINANCING,CareCredit Amount (30 days),careCreditAmount,number,0,Total amount financed through CareCredit (past 30 days)
THIRD PARTY FINANCING,Total Patients (30 days),totalPatients,number,0,Combined patients using financing (past 30 days)
THIRD PARTY FINANCING,Total Amount (30 days),totalAmount,number,0,Combined amount financed (past 30 days)
DAILY PRODUCTION BY PROVIDER,Dr. Gajjar Production,drGajjar,number,0,Daily production for Dr. Gajjar (use date selector)
DAILY PRODUCTION BY PROVIDER,Dr. Judge Production,drJudge,number,0,Daily production for Dr. Judge (use date selector)
DAILY PRODUCTION BY PROVIDER,Dr. Strachan Production,drStrachan,number,0,Daily production for Dr. Strachan (use date selector)
DAILY PRODUCTION BY PROVIDER,Doctor Total,doctorTotal,number,0,Total daily production for all doctors
DAILY PRODUCTION BY PROVIDER,Farah Production,farah,number,0,Daily production for Farah (Hygienist)
DAILY PRODUCTION BY PROVIDER,Olga Production,olga,number,0,Daily production for Olga (Hygienist)
DAILY PRODUCTION BY PROVIDER,Jissel Production,jissel,number,0,Daily production for Jissel (Hygienist)
DAILY PRODUCTION BY PROVIDER,Temp HYG Production,tempHyg,number,0,Daily production for Temp HYG (Hygienist)
DAILY PRODUCTION BY PROVIDER,Hygienist Total,hygienistTotal,number,0,Total daily production for all hygienists
DAILY PRODUCTION BY PROVIDER,Combined Total,combinedTotal,number,0,Combined daily production for all providers (doctors + hygienists)
ADVANCED METRICS - FINANCIAL,Customer Acquisition Cost (CAC),cac,number,0,Cost to acquire a new patient
ADVANCED METRICS - FINANCIAL,Gross Profit Margin %,grossProfitMargin,number,0,Gross profit as percentage of revenue
ADVANCED METRICS - FINANCIAL,Operating Profit Margin %,operatingProfitMargin,number,0,Operating profit as percentage of revenue
ADVANCED METRICS - FINANCIAL,Cash Flow,cashFlow,number,0,Current period cash flow
ADVANCED METRICS - FINANCIAL,Revenue Growth Rate %,revenueGrowthRate,number,0,Year over year revenue growth percentage
ADVANCED METRICS - COGS,Dental Supplies,cogs.dentalSupplies,number,0,Cost of dental supplies
ADVANCED METRICS - COGS,Lab Fees,cogs.labFees,number,0,Laboratory fees
ADVANCED METRICS - COGS,Associate Doctor Expense,cogs.associateDoctorExpense,number,0,Associate doctor compensation
ADVANCED METRICS - COGS,Hygiene Payroll,cogs.hygienePayroll,number,0,Hygienist payroll costs
ADVANCED METRICS - COGS,Assistant Payroll,cogs.assistantPayroll,number,0,Dental assistant payroll costs
ADVANCED METRICS - COGS,Total COGS,cogs.totalCOGS,number,0,Total cost of goods sold
ADVANCED METRICS - COGS,Operating Costs,operatingCosts,number,0,Total operating expenses
ADVANCED METRICS - PATIENT LIFECYCLE,Churned Patients Per Month,churnedPatientsPerMonth,number,0,Number of patients lost per month
ADVANCED METRICS - PATIENT LIFECYCLE,Churn Rate %,churnRate,number,0,Patient churn rate percentage
ADVANCED METRICS - PATIENT LIFECYCLE,Patient Lifecycle (Months),patientLifeCycleMonths,number,0,Average patient lifecycle in months
ADVANCED METRICS - PATIENT LIFECYCLE,Patient Lifecycle (Years),patientLifeCycleYears,number,0,Average patient lifecycle in years
ADVANCED METRICS - PATIENT LIFECYCLE,Active Pts 1st of Prior Month,activePtsFirstOfPriorMonth,number,0,Active patients at beginning of last month
ADVANCED METRICS - PATIENT LIFECYCLE,Avg Retention Period (Months),avgRetentionPeriod,number,0,Average patient retention period in months
ADVANCED METRICS - REVENUE,Average Revenue Per Client (ARPC),averageRevenuePerClient,number,0,Average revenue per patient
ADVANCED METRICS - REVENUE,Lifetime Value (LTV),ltv,number,0,Patient lifetime value (ARPC x Avg Retention Period)
ADVANCED METRICS - SATISFACTION,Net Promoter Score (NPS),nps,number,0,Patient satisfaction score (-100 to 100)
ADVANCED METRICS - SATISFACTION,Employee NPS (eNPS),enps,number,0,Employee satisfaction score (-100 to 100)
ADVANCED METRICS - EMPLOYEE,Employee Utilization Rate %,employeeUtilizationRate,number,0,Employee productivity percentage
